Pakirno_st,Dvodelnost,Ravninski,St_povezav,Gostota,Povp_stopnja,Zgoscenost,Povp_razdalja,Najdaljsa_pot,Premer
5,False,True,16,0.762,2.286,0.071,3.198,11,7
5,False,True,16,0.762,2.286,0.071,3.099,11,6
5,False,True,16,0.762,2.286,0.143,3.286,12,7
5,False,True,16,0.762,2.286,0.143,3.582,12,8
5,False,True,16,0.762,2.286,0.0,2.846,11,6
5,False,True,16,0.762,2.286,0.071,3.22,12,7
5,False,True,16,0.762,2.286,0.071,3.319,12,8
5,False,True,16,0.762,2.286,0.143,3.593,12,8
5,False,True,16,0.762,2.286,0.071,3.077,11,7
5,False,True,16,0.762,2.286,0.071,3.121,12,7
5,False,True,16,0.762,2.286,0.071,3.143,12,8
5,False,True,16,0.762,2.286,0.071,3.154,12,7
5,False,True,16,0.762,2.286,0.071,3.143,11,7
5,False,True,16,0.762,2.286,0.143,3.637,12,8
5,False,True,16,0.762,2.286,0.071,3.022,10,6
5,False,True,16,0.762,2.286,0.071,3.033,11,6
5,False,True,16,0.762,2.286,0.143,3.297,11,7
5,False,True,16,0.762,2.286,0.071,3.0,11,6
5,False,True,17,0.81,2.429,0.071,2.912,12,6
5,False,True,17,0.81,2.429,0.071,3.077,12,7
5,False,True,17,0.81,2.429,0.071,2.978,12,7
5,False,True,17,0.81,2.429,0.071,2.78,12,6
5,False,True,17,0.81,2.429,0.071,2.846,11,6
5,False,True,17,0.81,2.429,0.071,3.11,12,7
5,False,True,17,0.81,2.429,0.071,2.846,12,6
5,False,True,17,0.81,2.429,0.071,3.011,12,7
5,False,True,17,0.81,2.429,0.071,3.319,12,8
5,False,True,17,0.81,2.429,0.071,3.253,12,8
5,False,True,17,0.81,2.429,0.071,2.934,12,7
5,False,True,17,0.81,2.429,0.143,2.846,12,5
5,False,True,17,0.81,2.429,0.238,3.187,12,7
5,False,True,17,0.81,2.429,0.238,3.088,12,6
5,False,True,17,0.81,2.429,0.071,2.956,12,6
5,False,True,17,0.81,2.429,0.071,3.418,12,8
5,False,True,17,0.81,2.429,0.071,2.879,12,6
5,False,True,17,0.81,2.429,0.071,2.824,12,6
5,False,True,17,0.81,2.429,0.071,3.044,12,7
5,False,True,17,0.81,2.429,0.071,3.033,12,7
5,False,True,17,0.81,2.429,0.238,3.088,12,6
5,False,True,17,0.81,2.429,0.143,3.242,12,7
5,False,True,17,0.81,2.429,0.143,2.956,12,6
5,False,True,17,0.81,2.429,0.143,3.593,12,8
5,False,True,17,0.81,2.429,0.19,2.978,12,6
5,False,True,17,0.81,2.429,0.143,3.187,12,7
5,False,True,17,0.81,2.429,0.071,2.967,12,7
5,False,True,17,0.81,2.429,0.071,2.901,12,7
5,False,True,16,0.762,2.286,0.071,2.978,11,7
5,False,True,16,0.762,2.286,0.143,3.363,12,8
5,False,True,16,0.762,2.286,0.143,3.714,12,8
5,False,True,17,0.81,2.429,0.0,2.648,13,5
5,False,True,17,0.81,2.429,0.0,2.868,13,7
5,False,True,17,0.81,2.429,0.0,2.923,12,7
5,False,True,17,0.81,2.429,0.0,2.67,12,5
5,False,True,17,0.81,2.429,0.071,2.978,10,6
5,False,True,17,0.81,2.429,0.0,2.901,12,7
5,False,True,17,0.81,2.429,0.143,3.066,10,6
5,False,True,17,0.81,2.429,0.071,3.505,12,8
5,False,True,17,0.81,2.429,0.0,2.626,12,5
5,False,True,17,0.81,2.429,0.071,3.33,12,8
5,False,True,17,0.81,2.429,0.143,3.593,12,8
5,False,True,17,0.81,2.429,0.143,3.418,12,8
5,False,True,17,0.81,2.429,0.0,2.714,12,6
5,False,True,17,0.81,2.429,0.071,3.154,11,7
5,False,True,17,0.81,2.429,0.071,3.209,11,7
5,False,True,17,0.81,2.429,0.143,3.297,11,7
5,False,True,17,0.81,2.429,0.0,2.989,12,7
5,False,True,17,0.81,2.429,0.143,3.242,11,7
5,False,False,18,0.857,2.571,0.0,2.912,12,7
5,False,False,18,0.857,2.571,0.0,2.857,12,6
5,False,True,18,0.857,2.571,0.071,3.286,12,8
5,False,True,18,0.857,2.571,0.143,3.374,12,8
5,False,True,16,0.762,2.286,0.071,3.066,11,7
5,False,True,17,0.81,2.429,0.071,2.791,12,6
5,False,True,17,0.81,2.429,0.071,2.956,10,6
5,False,True,17,0.81,2.429,0.071,3.484,12,8
5,False,True,17,0.81,2.429,0.071,3.099,12,7
5,False,True,17,0.81,2.429,0.071,2.747,13,6
5,False,True,18,0.857,2.571,0.143,2.879,12,6
5,False,True,18,0.857,2.571,0.071,3.055,12,7
5,False,True,18,0.857,2.571,0.143,2.967,12,6
5,False,True,17,0.81,2.429,0.071,3.0,13,7
5,False,True,17,0.81,2.429,0.071,3.099,13,7
5,False,True,17,0.81,2.429,0.19,3.099,13,7
5,False,True,17,0.81,2.429,0.071,2.967,13,7
5,False,True,17,0.81,2.429,0.071,2.967,12,7
5,False,True,17,0.81,2.429,0.071,2.978,12,6
5,False,True,18,0.857,2.571,0.071,2.758,13,6
5,False,True,18,0.857,2.571,0.071,2.813,13,6
5,False,True,18,0.857,2.571,0.071,2.989,13,7
5,False,True,18,0.857,2.571,0.071,3.297,13,8
5,False,True,18,0.857,2.571,0.071,3.143,13,8
5,False,True,18,0.857,2.571,0.071,2.868,13,7
5,False,True,18,0.857,2.571,0.071,2.692,13,6
5,False,True,18,0.857,2.571,0.071,2.758,13,6
5,False,True,18,0.857,2.571,0.143,2.769,13,6
5,False,True,18,0.857,2.571,0.071,2.846,13,6
5,False,True,18,0.857,2.571,0.071,2.769,13,6
5,False,True,18,0.857,2.571,0.143,3.099,12,7
5,False,True,18,0.857,2.571,0.143,3.121,13,7
5,False,True,18,0.857,2.571,0.214,2.857,13,6
5,False,True,18,0.857,2.571,0.143,2.857,12,6
5,False,True,18,0.857,2.571,0.143,2.769,13,6
5,False,True,18,0.857,2.571,0.143,2.791,12,6
5,False,True,18,0.857,2.571,0.143,2.758,12,5
5,False,False,18,0.857,2.571,0.071,2.703,12,6
5,False,False,18,0.857,2.571,0.071,2.604,13,5
5,False,True,18,0.857,2.571,0.071,2.945,13,7
5,False,False,18,0.857,2.571,0.071,2.879,13,7
5,False,False,18,0.857,2.571,0.071,2.549,12,5
5,False,True,18,0.857,2.571,0.19,2.78,13,6
5,False,True,18,0.857,2.571,0.19,3.297,13,8
5,False,True,18,0.857,2.571,0.071,2.747,13,6
5,False,True,18,0.857,2.571,0.071,2.758,13,6
5,False,True,19,0.905,2.714,0.071,2.901,13,7
5,False,True,19,0.905,2.714,0.071,2.802,13,6
5,False,True,19,0.905,2.714,0.071,2.495,13,6
5,False,False,19,0.905,2.714,0.071,2.615,13,6
5,False,False,19,0.905,2.714,0.143,2.659,13,6
5,False,False,19,0.905,2.714,0.071,2.538,13,5
5,False,True,16,0.762,2.286,0.143,3.582,13,9
5,False,True,16,0.762,2.286,0.071,3.451,13,8
5,False,True,16,0.762,2.286,0.143,3.934,13,9
5,False,True,16,0.762,2.286,0.071,3.198,12,8
5,False,True,17,0.81,2.429,0.071,2.879,13,6
5,False,True,17,0.81,2.429,0.071,3.055,13,7
5,False,True,17,0.81,2.429,0.071,3.538,13,9
5,False,True,17,0.81,2.429,0.143,2.978,13,6
5,False,True,17,0.81,2.429,0.143,3.011,13,6
5,False,True,17,0.81,2.429,0.071,2.802,13,6
5,False,True,17,0.81,2.429,0.143,2.824,12,5
5,False,True,17,0.81,2.429,0.143,3.066,12,6
5,False,True,17,0.81,2.429,0.0,3.143,13,8
5,False,True,17,0.81,2.429,0.0,2.725,13,6
5,False,True,17,0.81,2.429,0.071,2.813,12,7
5,False,True,17,0.81,2.429,0.071,2.813,12,7
5,False,True,17,0.81,2.429,0.071,2.78,12,7
5,False,True,17,0.81,2.429,0.19,2.956,12,7
5,False,True,17,0.81,2.429,0.143,3.055,13,7
5,False,True,17,0.81,2.429,0.071,3.011,12,7
5,False,True,17,0.81,2.429,0.143,2.945,13,6
5,False,True,17,0.81,2.429,0.0,3.011,13,8
5,False,True,17,0.81,2.429,0.071,3.011,13,8
5,False,True,17,0.81,2.429,0.071,2.956,12,7
5,False,True,17,0.81,2.429,0.143,3.308,12,8
5,False,True,17,0.81,2.429,0.071,2.89,12,7
5,False,True,17,0.81,2.429,0.143,3.341,13,8
5,False,True,17,0.81,2.429,0.143,3.121,13,7
5,False,True,17,0.81,2.429,0.143,3.692,13,8
5,False,True,17,0.81,2.429,0.143,3.198,10,6
5,False,True,17,0.81,2.429,0.143,3.066,13,7
5,False,True,17,0.81,2.429,0.143,3.121,13,7
