Pakirno_st,Dvodelnost,Ravninski,St_povezav,Gostota,Povp_stopnja,Zgoscenost,Povp_razdalja,Najdaljsa_pot,Premer
5,False,False,30,1.0,3.0,0.1,2.726,19,5
5,False,False,30,1.0,3.0,0.15,2.821,19,5
5,False,False,30,1.0,3.0,0.1,2.774,19,6
5,False,False,30,1.0,3.0,0.1,2.684,19,5
5,False,False,30,1.0,3.0,0.05,2.668,19,5
5,False,True,30,1.0,3.0,0.05,2.826,19,5
5,False,False,30,1.0,3.0,0.1,2.679,19,5
5,False,True,30,1.0,3.0,0.15,2.895,19,6
5,False,False,30,1.0,3.0,0.1,2.789,19,5
5,False,False,30,1.0,3.0,0.1,2.658,19,5
5,False,False,30,1.0,3.0,0.1,2.837,19,5
5,False,False,30,1.0,3.0,0.0,2.584,19,5
5,False,False,30,1.0,3.0,0.0,2.579,19,4
5,False,False,30,1.0,3.0,0.0,2.495,19,4
5,False,False,30,1.0,3.0,0.15,2.695,19,5
5,False,False,30,1.0,3.0,0.1,2.816,19,5
5,False,False,30,1.0,3.0,0.05,2.553,19,5
5,False,False,30,1.0,3.0,0.05,2.816,19,6
5,False,False,30,1.0,3.0,0.15,2.8,19,5
5,False,False,30,1.0,3.0,0.15,2.711,19,5
5,False,False,30,1.0,3.0,0.15,3.074,19,6
5,False,False,30,1.0,3.0,0.05,2.679,19,5
5,False,True,30,1.0,3.0,0.2,2.863,19,5
5,False,False,30,1.0,3.0,0.2,2.663,19,5
5,False,False,30,1.0,3.0,0.15,2.663,19,5
5,False,False,30,1.0,3.0,0.25,3.347,19,8
5,False,False,30,1.0,3.0,0.25,2.837,19,5
5,False,False,30,1.0,3.0,0.0,2.642,19,5
5,False,False,30,1.0,3.0,0.0,2.526,19,4
5,False,False,30,1.0,3.0,0.2,2.816,19,5
5,False,False,30,1.0,3.0,0.1,2.821,19,6
5,False,False,30,1.0,3.0,0.1,2.705,19,5
5,False,False,30,1.0,3.0,0.15,2.726,19,5
5,False,False,30,1.0,3.0,0.1,2.726,19,5
5,False,False,30,1.0,3.0,0.15,2.947,19,6
5,False,False,30,1.0,3.0,0.05,2.616,19,5
5,False,False,30,1.0,3.0,0.05,2.921,19,6
5,False,False,30,1.0,3.0,0.0,2.689,19,5
5,False,True,30,1.0,3.0,0.15,2.826,19,5
5,False,False,30,1.0,3.0,0.05,2.568,19,4
5,False,False,30,1.0,3.0,0.1,2.758,19,5
5,False,False,30,1.0,3.0,0.05,2.695,19,5
5,False,False,30,1.0,3.0,0.05,2.721,19,5
5,False,False,30,1.0,3.0,0.15,2.895,19,6
5,False,False,30,1.0,3.0,0.2,2.753,19,5
5,False,False,30,1.0,3.0,0.05,2.779,19,5
5,False,False,30,1.0,3.0,0.05,2.532,19,4
5,False,False,30,1.0,3.0,0.1,2.768,19,5
5,False,False,30,1.0,3.0,0.1,2.742,19,5
5,False,False,30,1.0,3.0,0.0,2.568,19,5
5,False,False,30,1.0,3.0,0.0,2.663,19,5
5,False,False,30,1.0,3.0,0.15,2.716,19,5
5,False,False,30,1.0,3.0,0.0,2.579,19,5
5,False,False,30,1.0,3.0,0.0,2.684,19,5
5,False,False,30,1.0,3.0,0.15,2.716,19,5
5,False,False,30,1.0,3.0,0.05,2.716,19,5
5,False,False,30,1.0,3.0,0.05,2.895,19,6
5,False,False,30,1.0,3.0,0.15,2.758,19,5
5,False,False,30,1.0,3.0,0.0,2.668,19,5
5,False,False,30,1.0,3.0,0.05,2.989,19,6
5,False,False,30,1.0,3.0,0.05,2.663,19,5
5,False,False,30,1.0,3.0,0.05,2.674,19,5
5,False,False,30,1.0,3.0,0.05,2.695,19,5
5,False,False,30,1.0,3.0,0.15,2.984,19,6
5,False,False,30,1.0,3.0,0.1,2.753,19,5
5,False,False,30,1.0,3.0,0.15,2.768,19,6
5,False,False,30,1.0,3.0,0.0,2.668,19,5
5,False,False,30,1.0,3.0,0.0,2.658,19,5
5,False,False,30,1.0,3.0,0.05,2.674,19,5
5,False,False,30,1.0,3.0,0.15,2.684,19,5
5,False,False,30,1.0,3.0,0.1,2.663,19,5
5,False,False,30,1.0,3.0,0.0,2.721,19,5
5,False,False,30,1.0,3.0,0.1,2.711,19,5
5,False,False,30,1.0,3.0,0.0,2.589,19,5
5,False,False,30,1.0,3.0,0.05,2.668,19,5
5,False,False,30,1.0,3.0,0.05,2.937,19,6
5,False,False,30,1.0,3.0,0.1,2.568,19,5
5,False,False,30,1.0,3.0,0.1,2.621,19,5
5,False,False,30,1.0,3.0,0.0,2.611,19,5
5,False,False,30,1.0,3.0,0.1,2.784,19,5
5,False,False,30,1.0,3.0,0.05,2.826,19,6
5,False,False,30,1.0,3.0,0.0,2.542,19,4
5,False,False,30,1.0,3.0,0.0,2.711,19,5
5,False,False,30,1.0,3.0,0.1,2.632,19,5
5,False,False,30,1.0,3.0,0.05,2.584,19,5
5,False,False,30,1.0,3.0,0.05,2.611,19,5
5,False,False,30,1.0,3.0,0.1,2.716,19,5
5,False,False,30,1.0,3.0,0.15,2.937,19,6
5,False,False,30,1.0,3.0,0.05,2.668,19,5
5,False,False,30,1.0,3.0,0.0,2.579,19,4
5,False,False,30,1.0,3.0,0.1,2.795,19,5
5,False,False,30,1.0,3.0,0.1,2.689,19,5
5,False,False,30,1.0,3.0,0.05,2.537,19,4
5,False,False,30,1.0,3.0,0.1,2.742,19,6
5,False,False,30,1.0,3.0,0.0,2.558,19,5
5,False,False,30,1.0,3.0,0.0,2.626,19,5
5,False,False,30,1.0,3.0,0.05,2.763,19,5
5,False,True,30,1.0,3.0,0.15,3.074,19,6
5,False,False,30,1.0,3.0,0.1,2.821,19,6
5,False,False,30,1.0,3.0,0.1,2.621,19,5
5,False,True,30,1.0,3.0,0.15,3.342,19,8
5,False,False,30,1.0,3.0,0.05,2.6,19,5
5,False,False,30,1.0,3.0,0.25,3.005,19,6
5,False,False,30,1.0,3.0,0.15,2.853,19,5
5,False,False,30,1.0,3.0,0.1,2.589,19,5
5,False,False,30,1.0,3.0,0.0,2.537,19,4
5,False,False,30,1.0,3.0,0.05,2.605,19,5
5,False,True,30,1.0,3.0,0.2,2.9,19,6
5,False,False,30,1.0,3.0,0.05,2.642,19,5
5,False,False,30,1.0,3.0,0.0,2.589,19,5
5,False,False,30,1.0,3.0,0.05,2.563,19,5
5,False,False,30,1.0,3.0,0.1,2.742,19,6
5,False,False,30,1.0,3.0,0.05,2.674,19,5
5,False,False,30,1.0,3.0,0.05,2.674,19,5
5,False,False,30,1.0,3.0,0.0,2.584,19,4
5,False,False,30,1.0,3.0,0.15,2.732,19,5
5,False,False,30,1.0,3.0,0.15,2.642,19,5
5,False,False,30,1.0,3.0,0.05,2.753,19,6
5,False,False,30,1.0,3.0,0.05,2.689,19,5
5,False,False,30,1.0,3.0,0.05,2.742,19,5
5,False,False,30,1.0,3.0,0.05,2.521,19,4
5,False,False,30,1.0,3.0,0.05,2.605,19,5
5,False,False,30,1.0,3.0,0.15,2.837,19,5
5,False,False,30,1.0,3.0,0.1,2.811,19,6
5,False,False,30,1.0,3.0,0.1,2.653,19,5
5,False,False,30,1.0,3.0,0.05,2.779,19,5
5,False,False,30,1.0,3.0,0.1,2.795,19,6
5,False,False,30,1.0,3.0,0.05,2.705,19,5
5,False,False,30,1.0,3.0,0.0,2.605,19,5
5,False,False,30,1.0,3.0,0.15,2.974,19,6
5,False,False,30,1.0,3.0,0.1,2.805,19,5
5,False,False,30,1.0,3.0,0.05,2.726,19,5
5,False,False,30,1.0,3.0,0.1,2.805,19,5
5,False,False,30,1.0,3.0,0.05,2.716,19,5
5,False,False,30,1.0,3.0,0.05,2.658,19,5
5,False,False,30,1.0,3.0,0.05,2.6,19,5
5,False,False,30,1.0,3.0,0.1,2.616,19,5
5,False,False,30,1.0,3.0,0.05,2.611,19,4
5,False,False,30,1.0,3.0,0.15,2.695,19,5
5,False,False,30,1.0,3.0,0.1,2.753,19,5
5,False,False,30,1.0,3.0,0.0,2.611,19,5
5,False,False,30,1.0,3.0,0.1,2.616,19,5
5,False,False,30,1.0,3.0,0.1,2.605,19,5
5,False,False,30,1.0,3.0,0.15,2.789,19,6
5,False,False,30,1.0,3.0,0.2,2.958,19,6
5,False,False,30,1.0,3.0,0.2,3.211,19,7
5,False,False,30,1.0,3.0,0.05,2.6,19,5
5,False,False,30,1.0,3.0,0.1,2.684,19,5
5,False,False,30,1.0,3.0,0.05,2.721,19,5
5,False,False,30,1.0,3.0,0.05,2.574,19,5
5,False,False,30,1.0,3.0,0.05,2.668,19,5
5,False,False,30,1.0,3.0,0.1,2.811,19,5
5,False,False,30,1.0,3.0,0.15,2.784,19,5
5,False,False,30,1.0,3.0,0.05,2.642,19,5
5,False,False,30,1.0,3.0,0.05,2.705,19,5
5,False,False,30,1.0,3.0,0.05,2.647,19,5
5,False,False,30,1.0,3.0,0.0,2.553,19,5
5,False,False,30,1.0,3.0,0.1,2.895,19,6
5,False,False,30,1.0,3.0,0.15,2.721,19,5
5,False,False,30,1.0,3.0,0.15,2.753,19,5
5,False,False,30,1.0,3.0,0.0,2.6,19,5
5,False,False,30,1.0,3.0,0.1,2.837,19,6
5,False,False,30,1.0,3.0,0.1,2.858,19,6
5,False,False,30,1.0,3.0,0.0,2.511,19,4
5,False,False,30,1.0,3.0,0.15,2.626,19,5
5,False,False,30,1.0,3.0,0.05,2.716,19,5
5,False,False,30,1.0,3.0,0.2,2.747,19,5
5,False,False,30,1.0,3.0,0.1,2.711,19,5
5,False,False,30,1.0,3.0,0.05,2.621,19,5
5,False,False,30,1.0,3.0,0.0,2.595,19,4
5,False,False,30,1.0,3.0,0.1,2.663,19,5
5,False,False,30,1.0,3.0,0.1,2.895,19,6
5,False,False,30,1.0,3.0,0.15,2.721,19,5
5,False,False,30,1.0,3.0,0.05,2.542,19,5
5,False,False,30,1.0,3.0,0.05,2.779,19,5
5,False,False,30,1.0,3.0,0.1,2.674,19,5
5,False,False,30,1.0,3.0,0.05,2.653,19,5
5,False,False,30,1.0,3.0,0.05,2.758,19,5
5,False,False,30,1.0,3.0,0.15,2.674,19,5
5,False,False,30,1.0,3.0,0.15,2.716,19,5
5,False,False,30,1.0,3.0,0.0,2.789,19,6
5,False,False,30,1.0,3.0,0.05,2.7,19,5
5,False,False,30,1.0,3.0,0.05,2.532,19,4
5,False,False,30,1.0,3.0,0.05,2.589,19,5
5,False,False,30,1.0,3.0,0.1,2.779,19,5
5,False,True,30,1.0,3.0,0.2,2.916,19,6
5,False,False,30,1.0,3.0,0.15,2.816,19,6
5,False,False,30,1.0,3.0,0.05,2.637,19,5
5,False,False,30,1.0,3.0,0.1,2.605,19,5
5,False,False,30,1.0,3.0,0.05,2.789,19,5
5,False,False,30,1.0,3.0,0.2,2.858,19,5
5,False,False,30,1.0,3.0,0.05,2.879,19,6
5,False,False,30,1.0,3.0,0.15,2.753,19,5
5,False,False,30,1.0,3.0,0.05,2.621,19,5
5,False,False,30,1.0,3.0,0.15,2.905,19,6
5,False,False,30,1.0,3.0,0.05,2.653,19,5
5,False,False,30,1.0,3.0,0.05,2.668,19,5
5,False,False,30,1.0,3.0,0.1,2.695,19,5
5,False,False,30,1.0,3.0,0.15,2.895,19,5
5,False,False,30,1.0,3.0,0.1,2.616,19,5
5,False,False,30,1.0,3.0,0.15,2.795,19,5
5,False,False,30,1.0,3.0,0.0,2.542,19,4
5,False,False,30,1.0,3.0,0.1,2.558,19,4
5,False,False,30,1.0,3.0,0.05,2.595,19,5
5,False,False,30,1.0,3.0,0.1,2.837,19,5
5,False,False,30,1.0,3.0,0.0,2.632,19,5
5,False,False,30,1.0,3.0,0.15,2.632,19,5
5,False,False,30,1.0,3.0,0.0,2.611,19,5
5,False,False,30,1.0,3.0,0.1,2.768,19,5
5,False,False,30,1.0,3.0,0.15,2.721,19,5
5,False,False,30,1.0,3.0,0.15,2.8,19,5
5,False,False,30,1.0,3.0,0.15,2.763,19,5
5,False,False,30,1.0,3.0,0.1,2.763,19,5
5,False,False,30,1.0,3.0,0.05,2.568,19,5
5,False,False,30,1.0,3.0,0.15,2.805,19,5
5,False,False,30,1.0,3.0,0.1,2.668,19,5
5,False,False,30,1.0,3.0,0.1,2.668,19,5
5,False,False,30,1.0,3.0,0.1,2.721,19,5
5,False,False,30,1.0,3.0,0.1,2.653,19,5
5,False,False,30,1.0,3.0,0.0,2.632,19,5
5,False,False,30,1.0,3.0,0.05,2.732,19,5
5,False,False,30,1.0,3.0,0.0,2.763,19,5
5,False,False,30,1.0,3.0,0.15,2.768,19,5
5,False,False,30,1.0,3.0,0.05,2.558,19,4
5,False,False,30,1.0,3.0,0.15,2.684,19,5
5,False,False,30,1.0,3.0,0.0,2.511,19,4
5,False,False,30,1.0,3.0,0.1,3.042,19,6
5,False,False,30,1.0,3.0,0.2,2.7,19,5
5,False,False,30,1.0,3.0,0.05,2.637,19,5
5,False,False,30,1.0,3.0,0.05,2.705,19,5
5,False,False,30,1.0,3.0,0.0,2.689,19,5
5,False,False,30,1.0,3.0,0.05,2.589,19,5
5,False,False,30,1.0,3.0,0.1,2.637,19,5
5,False,True,30,1.0,3.0,0.25,3.374,19,8
5,False,False,30,1.0,3.0,0.05,2.674,19,5
5,False,False,30,1.0,3.0,0.05,3.105,19,7
5,False,False,30,1.0,3.0,0.0,2.584,19,5
5,False,False,30,1.0,3.0,0.05,2.721,19,5
5,False,False,30,1.0,3.0,0.05,2.632,19,5
5,False,True,30,1.0,3.0,0.15,3.005,19,6
5,False,False,30,1.0,3.0,0.0,2.611,19,5
5,False,False,30,1.0,3.0,0.05,2.916,19,6
5,False,False,30,1.0,3.0,0.15,2.632,19,5
5,False,False,30,1.0,3.0,0.1,2.663,19,5
5,False,False,30,1.0,3.0,0.05,2.637,19,5
5,False,False,30,1.0,3.0,0.1,2.663,19,5
5,False,False,30,1.0,3.0,0.0,2.553,19,4
5,False,True,30,1.0,3.0,0.15,2.858,19,5
